"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEDICALDOC","TOT","1000HAB","A","2008",3.02,
"AUS","MEDICALDOC","TOT","1000HAB","A","2009",3.12,
"AUS","MEDICALDOC","TOT","1000HAB","A","2011",3.32,
"AUS","MEDICALDOC","TOT","1000HAB","A","2012",3.31,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2013",3.37,
"AUS","MEDICALDOC","TOT","1000HAB","A","2014",3.45,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2015",3.51,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2016",3.58,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2017",3.68,"E"
"AUT","MEDICALDOC","TOT","1000HAB","A","2008",4.6,
"AUT","MEDICALDOC","TOT","1000HAB","A","2009",4.69,
"AUT","MEDICALDOC","TOT","1000HAB","A","2010",4.8,
"AUT","MEDICALDOC","TOT","1000HAB","A","2011",4.84,
"AUT","MEDICALDOC","TOT","1000HAB","A","2012",4.9,
"AUT","MEDICALDOC","TOT","1000HAB","A","2013",4.99,
"AUT","MEDICALDOC","TOT","1000HAB","A","2014",5.05,
"AUT","MEDICALDOC","TOT","1000HAB","A","2015",5.09,
"AUT","MEDICALDOC","TOT","1000HAB","A","2016",5.13,
"AUT","MEDICALDOC","TOT","1000HAB","A","2017",5.18,
"BEL","MEDICALDOC","TOT","1000HAB","A","2008",2.92,
"BEL","MEDICALDOC","TOT","1000HAB","A","2009",2.92,
"BEL","MEDICALDOC","TOT","1000HAB","A","2010",2.92,
"BEL","MEDICALDOC","TOT","1000HAB","A","2011",2.92,
"BEL","MEDICALDOC","TOT","1000HAB","A","2012",2.93,
"BEL","MEDICALDOC","TOT","1000HAB","A","2013",2.96,
"BEL","MEDICALDOC","TOT","1000HAB","A","2014",2.98,
"BEL","MEDICALDOC","TOT","1000HAB","A","2015",3.02,
"BEL","MEDICALDOC","TOT","1000HAB","A","2016",3.07,
"BEL","MEDICALDOC","TOT","1000HAB","A","2017",3.08,
"CAN","MEDICALDOC","TOT","1000HAB","A","2008",2.26,
"CAN","MEDICALDOC","TOT","1000HAB","A","2009",2.34,
"CAN","MEDICALDOC","TOT","1000HAB","A","2010",2.38,
"CAN","MEDICALDOC","TOT","1000HAB","A","2011",2.46,
"CAN","MEDICALDOC","TOT","1000HAB","A","2012",2.51,
"CAN","MEDICALDOC","TOT","1000HAB","A","2013",2.57,
"CAN","MEDICALDOC","TOT","1000HAB","A","2014",2.62,
"CAN","MEDICALDOC","TOT","1000HAB","A","2015",2.67,
"CAN","MEDICALDOC","TOT","1000HAB","A","2016",2.69,
"CAN","MEDICALDOC","TOT","1000HAB","A","2017",2.73,
"CZE","MEDICALDOC","TOT","1000HAB","A","2008",3.56,
"CZE","MEDICALDOC","TOT","1000HAB","A","2009",3.58,
"CZE","MEDICALDOC","TOT","1000HAB","A","2010",3.6,
"CZE","MEDICALDOC","TOT","1000HAB","A","2011",3.64,
"CZE","MEDICALDOC","TOT","1000HAB","A","2012",3.67,
"CZE","MEDICALDOC","TOT","1000HAB","A","2013",3.69,
"DNK","MEDICALDOC","TOT","1000HAB","A","2008",3.58,
"DNK","MEDICALDOC","TOT","1000HAB","A","2009",3.65,
"DNK","MEDICALDOC","TOT","1000HAB","A","2010",3.73,
"DNK","MEDICALDOC","TOT","1000HAB","A","2011",3.79,
"DNK","MEDICALDOC","TOT","1000HAB","A","2012",3.84,
"DNK","MEDICALDOC","TOT","1000HAB","A","2013",3.85,
"DNK","MEDICALDOC","TOT","1000HAB","A","2014",3.88,
"DNK","MEDICALDOC","TOT","1000HAB","A","2015",3.93,
"DNK","MEDICALDOC","TOT","1000HAB","A","2016",4,
"DNK","MEDICALDOC","TOT","1000HAB","A","2017",4.11,
"FIN","MEDICALDOC","TOT","1000HAB","A","2008",2.72,
"FIN","MEDICALDOC","TOT","1000HAB","A","2009",2.83,"E"
"FIN","MEDICALDOC","TOT","1000HAB","A","2010",2.99,"E"
"FIN","MEDICALDOC","TOT","1000HAB","A","2011",2.99,"E"
"FIN","MEDICALDOC","TOT","1000HAB","A","2012",3.07,"E"
"FIN","MEDICALDOC","TOT","1000HAB","A","2013",3.15,"E"
"FIN","MEDICALDOC","TOT","1000HAB","A","2014",3.21,"E"
"FRA","MEDICALDOC","TOT","1000HAB","A","2008",3.31,
"FRA","MEDICALDOC","TOT","1000HAB","A","2009",3.27,"B"
"FRA","MEDICALDOC","TOT","1000HAB","A","2010",3.27,
"FRA","MEDICALDOC","TOT","1000HAB","A","2011",3.31,"B"
"FRA","MEDICALDOC","TOT","1000HAB","A","2012",3.32,
"FRA","MEDICALDOC","TOT","1000HAB","A","2013",3.33,
"FRA","MEDICALDOC","TOT","1000HAB","A","2014",3.33,
"FRA","MEDICALDOC","TOT","1000HAB","A","2015",3.34,
"FRA","MEDICALDOC","TOT","1000HAB","A","2016",3.35,
"FRA","MEDICALDOC","TOT","1000HAB","A","2017",3.37,
"DEU","MEDICALDOC","TOT","1000HAB","A","2008",3.54,
"DEU","MEDICALDOC","TOT","1000HAB","A","2009",3.62,
"DEU","MEDICALDOC","TOT","1000HAB","A","2010",3.71,
"DEU","MEDICALDOC","TOT","1000HAB","A","2011",3.88,
"DEU","MEDICALDOC","TOT","1000HAB","A","2012",3.95,
"DEU","MEDICALDOC","TOT","1000HAB","A","2013",4.04,
"DEU","MEDICALDOC","TOT","1000HAB","A","2014",4.11,
"DEU","MEDICALDOC","TOT","1000HAB","A","2015",4.14,
"DEU","MEDICALDOC","TOT","1000HAB","A","2016",4.19,
"DEU","MEDICALDOC","TOT","1000HAB","A","2017",4.25,
"HUN","MEDICALDOC","TOT","1000HAB","A","2008",3.09,"B"
"HUN","MEDICALDOC","TOT","1000HAB","A","2009",3.02,
"HUN","MEDICALDOC","TOT","1000HAB","A","2010",2.87,"B"
"HUN","MEDICALDOC","TOT","1000HAB","A","2011",2.96,
"HUN","MEDICALDOC","TOT","1000HAB","A","2012",3.09,
"HUN","MEDICALDOC","TOT","1000HAB","A","2013",3.21,
"HUN","MEDICALDOC","TOT","1000HAB","A","2014",3.32,
"HUN","MEDICALDOC","TOT","1000HAB","A","2015",3.1,"B"
"HUN","MEDICALDOC","TOT","1000HAB","A","2016",3.21,
"HUN","MEDICALDOC","TOT","1000HAB","A","2017",3.32,
"ISL","MEDICALDOC","TOT","1000HAB","A","2008",3.64,
"ISL","MEDICALDOC","TOT","1000HAB","A","2009",3.65,
"ISL","MEDICALDOC","TOT","1000HAB","A","2010",3.59,
"ISL","MEDICALDOC","TOT","1000HAB","A","2011",3.5,
"ISL","MEDICALDOC","TOT","1000HAB","A","2012",3.56,
"ISL","MEDICALDOC","TOT","1000HAB","A","2013",3.61,
"ISL","MEDICALDOC","TOT","1000HAB","A","2014",3.64,
"ISL","MEDICALDOC","TOT","1000HAB","A","2015",3.78,
"ISL","MEDICALDOC","TOT","1000HAB","A","2016",3.85,"B"
"ISL","MEDICALDOC","TOT","1000HAB","A","2017",3.87,
"IRL","MEDICALDOC","TOT","1000HAB","A","2011",2.67,"E"
"IRL","MEDICALDOC","TOT","1000HAB","A","2012",2.71,"E"
"IRL","MEDICALDOC","TOT","1000HAB","A","2013",2.67,"E"
"IRL","MEDICALDOC","TOT","1000HAB","A","2014",3.01,"B"
"IRL","MEDICALDOC","TOT","1000HAB","A","2015",3.12,
"IRL","MEDICALDOC","TOT","1000HAB","A","2016",3.19,
"IRL","MEDICALDOC","TOT","1000HAB","A","2017",3.26,
"ITA","MEDICALDOC","TOT","1000HAB","A","2008",3.79,"E"
"ITA","MEDICALDOC","TOT","1000HAB","A","2009",3.79,"E"
"ITA","MEDICALDOC","TOT","1000HAB","A","2010",3.82,"E"
"ITA","MEDICALDOC","TOT","1000HAB","A","2011",3.9,"E"
"ITA","MEDICALDOC","TOT","1000HAB","A","2012",3.87,
"ITA","MEDICALDOC","TOT","1000HAB","A","2013",3.9,
"ITA","MEDICALDOC","TOT","1000HAB","A","2014",3.88,
"ITA","MEDICALDOC","TOT","1000HAB","A","2015",3.84,
"ITA","MEDICALDOC","TOT","1000HAB","A","2016",3.95,
"ITA","MEDICALDOC","TOT","1000HAB","A","2017",3.99,
"JPN","MEDICALDOC","TOT","1000HAB","A","2008",2.15,
"JPN","MEDICALDOC","TOT","1000HAB","A","2010",2.21,
"JPN","MEDICALDOC","TOT","1000HAB","A","2012",2.29,
"JPN","MEDICALDOC","TOT","1000HAB","A","2014",2.36,
"JPN","MEDICALDOC","TOT","1000HAB","A","2016",2.43,
"KOR","MEDICALDOC","TOT","1000HAB","A","2008",1.85,
"KOR","MEDICALDOC","TOT","1000HAB","A","2009",1.92,
