"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELDLYPOP","TOT","PC_POP","A","2008",13.201,
"AUS","ELDLYPOP","TOT","PC_POP","A","2009",13.326,
"AUS","ELDLYPOP","TOT","PC_POP","A","2010",13.556,
"AUS","ELDLYPOP","TOT","PC_POP","A","2011",13.822,
"AUS","ELDLYPOP","TOT","PC_POP","A","2012",14.137,
"AUS","ELDLYPOP","TOT","PC_POP","A","2013",14.4,
"AUS","ELDLYPOP","TOT","PC_POP","A","2014",14.663,
"AUS","ELDLYPOP","TOT","PC_POP","A","2015",14.924,
"AUS","ELDLYPOP","TOT","PC_POP","A","2016",15.18,
"AUS","ELDLYPOP","TOT","PC_POP","A","2017",15.409,
"AUT","ELDLYPOP","TOT","PC_POP","A","2008",17.262,
"AUT","ELDLYPOP","TOT","PC_POP","A","2009",17.526,
"AUT","ELDLYPOP","TOT","PC_POP","A","2010",17.672,
"AUT","ELDLYPOP","TOT","PC_POP","A","2011",17.69,
"AUT","ELDLYPOP","TOT","PC_POP","A","2012",17.947,
"AUT","ELDLYPOP","TOT","PC_POP","A","2013",18.19,
"AUT","ELDLYPOP","TOT","PC_POP","A","2014",18.399,
"AUT","ELDLYPOP","TOT","PC_POP","A","2015",18.477,
"AUT","ELDLYPOP","TOT","PC_POP","A","2016",18.495,
"AUT","ELDLYPOP","TOT","PC_POP","A","2017",18.599,
"BEL","ELDLYPOP","TOT","PC_POP","A","2008",17.071,
"BEL","ELDLYPOP","TOT","PC_POP","A","2009",17.121,
"BEL","ELDLYPOP","TOT","PC_POP","A","2010",17.177,
"BEL","ELDLYPOP","TOT","PC_POP","A","2011",17.316,
"BEL","ELDLYPOP","TOT","PC_POP","A","2012",17.545,
"BEL","ELDLYPOP","TOT","PC_POP","A","2013",17.766,
"BEL","ELDLYPOP","TOT","PC_POP","A","2014",17.999,
"BEL","ELDLYPOP","TOT","PC_POP","A","2015",18.21,
"BEL","ELDLYPOP","TOT","PC_POP","A","2016",18.405,
"BEL","ELDLYPOP","TOT","PC_POP","A","2017",18.617,
"CAN","ELDLYPOP","TOT","PC_POP","A","2008",13.659,
"CAN","ELDLYPOP","TOT","PC_POP","A","2009",13.885,
"CAN","ELDLYPOP","TOT","PC_POP","A","2010",14.127,
"CAN","ELDLYPOP","TOT","PC_POP","A","2011",14.43,
"CAN","ELDLYPOP","TOT","PC_POP","A","2012",14.85,
"CAN","ELDLYPOP","TOT","PC_POP","A","2013",15.258,
"CAN","ELDLYPOP","TOT","PC_POP","A","2014",15.64,
"CAN","ELDLYPOP","TOT","PC_POP","A","2015",16.027,
"CAN","ELDLYPOP","TOT","PC_POP","A","2016",16.397,
"CAN","ELDLYPOP","TOT","PC_POP","A","2017",16.792,
"CZE","ELDLYPOP","TOT","PC_POP","A","2008",14.723,
"CZE","ELDLYPOP","TOT","PC_POP","A","2009",15.044,
"CZE","ELDLYPOP","TOT","PC_POP","A","2010",15.373,
