"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP65","WOMEN","YR","A","2008",21.6,
"AUS","LIFEEXP65","WOMEN","YR","A","2009",21.8,
"AUS","LIFEEXP65","WOMEN","YR","A","2010",21.8,
"AUS","LIFEEXP65","WOMEN","YR","A","2011",22,
"AUS","LIFEEXP65","WOMEN","YR","A","2012",22,
"AUS","LIFEEXP65","WOMEN","YR","A","2013",22.1,
"AUS","LIFEEXP65","WOMEN","YR","A","2014",22.2,
"AUS","LIFEEXP65","WOMEN","YR","A","2015",22.3,
"AUS","LIFEEXP65","WOMEN","YR","A","2016",22.3,
"AUS","LIFEEXP65","WOMEN","YR","A","2017",22.3,
"AUT","LIFEEXP65","WOMEN","YR","A","2008",21.1,
"AUT","LIFEEXP65","WOMEN","YR","A","2009",21.2,
"AUT","LIFEEXP65","WOMEN","YR","A","2010",21.4,
"AUT","LIFEEXP65","WOMEN","YR","A","2011",21.7,
"AUT","LIFEEXP65","WOMEN","YR","A","2012",21.3,
"AUT","LIFEEXP65","WOMEN","YR","A","2013",21.5,
"AUT","LIFEEXP65","WOMEN","YR","A","2014",21.8,
"AUT","LIFEEXP65","WOMEN","YR","A","2015",21.3,
"AUT","LIFEEXP65","WOMEN","YR","A","2016",21.7,
"AUT","LIFEEXP65","WOMEN","YR","A","2017",21.5,
"BEL","LIFEEXP65","WOMEN","YR","A","2008",20.9,
"BEL","LIFEEXP65","WOMEN","YR","A","2009",21.2,
"BEL","LIFEEXP65","WOMEN","YR","A","2010",21.3,
"BEL","LIFEEXP65","WOMEN","YR","A","2011",21.6,"B"
"BEL","LIFEEXP65","WOMEN","YR","A","2012",21.3,
"BEL","LIFEEXP65","WOMEN","YR","A","2013",21.4,
"BEL","LIFEEXP65","WOMEN","YR","A","2014",21.9,
"BEL","LIFEEXP65","WOMEN","YR","A","2015",21.5,
"BEL","LIFEEXP65","WOMEN","YR","A","2016",21.9,
"BEL","LIFEEXP65","WOMEN","YR","A","2017",21.9,
"CAN","LIFEEXP65","WOMEN","YR","A","2008",21.2,
"CAN","LIFEEXP65","WOMEN","YR","A","2009",21.3,
"CAN","LIFEEXP65","WOMEN","YR","A","2010",21.5,
"CAN","LIFEEXP65","WOMEN","YR","A","2011",21.6,
"CAN","LIFEEXP65","WOMEN","YR","A","2012",21.8,
"CAN","LIFEEXP65","WOMEN","YR","A","2013",21.9,
"CAN","LIFEEXP65","WOMEN","YR","A","2014",22,
"CAN","LIFEEXP65","WOMEN","YR","A","2015",22,
"CAN","LIFEEXP65","WOMEN","YR","A","2016",22,
"CAN","LIFEEXP65","WOMEN","YR","A","2017",22.1,
"CZE","LIFEEXP65","WOMEN","YR","A","2008",18.8,
