"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOSPITALBED","TOT","1000HAB","A","2008",3.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","2009",3.77,
"AUS","HOSPITALBED","TOT","1000HAB","A","2010",3.78,
"AUS","HOSPITALBED","TOT","1000HAB","A","2011",3.79,
"AUS","HOSPITALBED","TOT","1000HAB","A","2012",3.75,"E"
"AUS","HOSPITALBED","TOT","1000HAB","A","2013",3.74,
"AUS","HOSPITALBED","TOT","1000HAB","A","2014",3.79,
"AUS","HOSPITALBED","TOT","1000HAB","A","2015",3.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","2016",3.84,
"AUT","HOSPITALBED","TOT","1000HAB","A","2008",7.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","2009",7.68,
"AUT","HOSPITALBED","TOT","1000HAB","A","2010",7.65,
"AUT","HOSPITALBED","TOT","1000HAB","A","2011",7.68,
"AUT","HOSPITALBED","TOT","1000HAB","A","2012",7.67,
"AUT","HOSPITALBED","TOT","1000HAB","A","2013",7.64,
"AUT","HOSPITALBED","TOT","1000HAB","A","2014",7.58,
"AUT","HOSPITALBED","TOT","1000HAB","A","2015",7.54,
"AUT","HOSPITALBED","TOT","1000HAB","A","2016",7.42,
"AUT","HOSPITALBED","TOT","1000HAB","A","2017",7.37,
"BEL","HOSPITALBED","TOT","1000HAB","A","2008",6.25,
"BEL","HOSPITALBED","TOT","1000HAB","A","2009",6.15,
"BEL","HOSPITALBED","TOT","1000HAB","A","2010",6.12,
"BEL","HOSPITALBED","TOT","1000HAB","A","2011",6.05,
"BEL","HOSPITALBED","TOT","1000HAB","A","2012",5.99,
"BEL","HOSPITALBED","TOT","1000HAB","A","2013",5.93,
"BEL","HOSPITALBED","TOT","1000HAB","A","2014",5.85,
"BEL","HOSPITALBED","TOT","1000HAB","A","2015",5.83,
"BEL","HOSPITALBED","TOT","1000HAB","A","2016",5.76,
"BEL","HOSPITALBED","TOT","1000HAB","A","2017",5.66,
"CAN","HOSPITALBED","TOT","1000HAB","A","2008",2.85,
"CAN","HOSPITALBED","TOT","1000HAB","A","2009",2.8,
"CAN","HOSPITALBED","TOT","1000HAB","A","2010",2.78,
"CAN","HOSPITALBED","TOT","1000HAB","A","2011",2.8,
"CAN","HOSPITALBED","TOT","1000HAB","A","2012",2.79,
"CAN","HOSPITALBED","TOT","1000HAB","A","2013",2.72,
"CAN","HOSPITALBED","TOT","1000HAB","A","2014",2.67,
"CAN","HOSPITALBED","TOT","1000HAB","A","2015",2.62,
"CAN","HOSPITALBED","TOT","1000HAB","A","2016",2.6,
"CAN","HOSPITALBED","TOT","1000HAB","A","2017",2.53,
"CZE","HOSPITALBED","TOT","1000HAB","A","2008",7.21,
"CZE","HOSPITALBED","TOT","1000HAB","A","2009",7.14,
"CZE","HOSPITALBED","TOT","1000HAB","A","2010",7.3,"B"
