"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2008",8.256,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2009",8.563,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2010",8.431,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2011",8.542,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2012",8.676,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2013",8.761,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2014",9.036,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2015",9.323,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2016",9.201,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2017",9.205,"D"
"AUT","HEALTHEXP","TOT","PC_GDP","A","2008",9.726,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2009",10.226,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2010",10.221,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2011",10.026,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2012",10.199,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2013",10.286,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2014",10.368,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2015",10.368,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2016",10.361,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2017",10.356,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2008",9.632,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2009",10.356,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2010",10.234,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2011",10.392,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2012",10.507,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2013",10.562,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2014",10.44,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2015",10.427,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2016",10.282,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2017",10.406,
