"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NURSE","TOT","1000HAB","A","2008",10.3,
"AUS","NURSE","TOT","1000HAB","A","2009",10.18,
"AUS","NURSE","TOT","1000HAB","A","2011",10.19,
"AUS","NURSE","TOT","1000HAB","A","2012",10.22,"E"
"AUS","NURSE","TOT","1000HAB","A","2013",11.12,
"AUS","NURSE","TOT","1000HAB","A","2014",11.28,"E"
"AUS","NURSE","TOT","1000HAB","A","2015",11.39,"E"
"AUS","NURSE","TOT","1000HAB","A","2016",11.57,"E"
"AUS","NURSE","TOT","1000HAB","A","2017",11.68,"E"
"AUT","NURSE","TOT","1000HAB","A","2008",6.36,"D"
"AUT","NURSE","TOT","1000HAB","A","2009",6.47,"D"
"AUT","NURSE","TOT","1000HAB","A","2010",6.53,"D"
"AUT","NURSE","TOT","1000HAB","A","2011",6.62,"D"
"AUT","NURSE","TOT","1000HAB","A","2012",6.65,"D"
"AUT","NURSE","TOT","1000HAB","A","2013",6.69,"D"
"AUT","NURSE","TOT","1000HAB","A","2014",6.79,"D"
"AUT","NURSE","TOT","1000HAB","A","2015",6.8,"D"
"AUT","NURSE","TOT","1000HAB","A","2016",6.77,"D"
"AUT","NURSE","TOT","1000HAB","A","2017",6.85,"D"
"CAN","NURSE","TOT","1000HAB","A","2008",9.16,
"CAN","NURSE","TOT","1000HAB","A","2009",9.32,
"CAN","NURSE","TOT","1000HAB","A","2010",9.37,
"CAN","NURSE","TOT","1000HAB","A","2011",9.29,
"CAN","NURSE","TOT","1000HAB","A","2012",9.4,
"CAN","NURSE","TOT","1000HAB","A","2013",9.54,
"CAN","NURSE","TOT","1000HAB","A","2014",9.81,
"CAN","NURSE","TOT","1000HAB","A","2015",9.91,
"CAN","NURSE","TOT","1000HAB","A","2016",9.96,
"CAN","NURSE","TOT","1000HAB","A","2017",10,
"CZE","NURSE","TOT","1000HAB","A","2008",7.97,
"CZE","NURSE","TOT","1000HAB","A","2009",8.09,
"CZE","NURSE","TOT","1000HAB","A","2010",8.1,
"CZE","NURSE","TOT","1000HAB","A","2011",8.03,
"CZE","NURSE","TOT","1000HAB","A","2012",8.06,
"CZE","NURSE","TOT","1000HAB","A","2013",7.99,
"CZE","NURSE","TOT","1000HAB","A","2014",7.93,"E"
"CZE","NURSE","TOT","1000HAB","A","2015",8.01,
"CZE","NURSE","TOT","1000HAB","A","2016",8.07,
"CZE","NURSE","TOT","1000HAB","A","2017",8.06,
"DNK","NURSE","TOT","1000HAB","A","2008",9.55,
"DNK","NURSE","TOT","1000HAB","A","2009",9.8,
"DNK","NURSE","TOT","1000HAB","A","2010",9.82,
"DNK","NURSE","TOT","1000HAB","A","2011",9.87,
"DNK","NURSE","TOT","1000HAB","A","2012",9.96,
"DNK","NURSE","TOT","1000HAB","A","2013",9.95,
"DNK","NURSE","TOT","1000HAB","A","2014",9.93,
"DNK","NURSE","TOT","1000HAB","A","2015",9.92,
"DNK","NURSE","TOT","1000HAB","A","2016",9.95,
"DNK","NURSE","TOT","1000HAB","A","2017",10.03,
"FIN","NURSE","TOT","1000HAB","A","2008",13.14,
"FIN","NURSE","TOT","1000HAB","A","2009",13.56,
"FIN","NURSE","TOT","1000HAB","A","2010",13.86,
"FIN","NURSE","TOT","1000HAB","A","2011",14.08,
"FIN","NURSE","TOT","1000HAB","A","2012",14.2,
"FIN","NURSE","TOT","1000HAB","A","2013",14.18,
"FIN","NURSE","TOT","1000HAB","A","2014",14.26,
"FRA","NURSE","TOT","1000HAB","A","2008",7.91,
"FRA","NURSE","TOT","1000HAB","A","2009",8.19,
"FRA","NURSE","TOT","1000HAB","A","2010",8.45,
"FRA","NURSE","TOT","1000HAB","A","2011",8.71,
"FRA","NURSE","TOT","1000HAB","A","2012",9.1,
"FRA","NURSE","TOT","1000HAB","A","2013",9.38,
"FRA","NURSE","TOT","1000HAB","A","2014",9.62,
"FRA","NURSE","TOT","1000HAB","A","2015",9.93,
"FRA","NURSE","TOT","1000HAB","A","2016",10.21,
"FRA","NURSE","TOT","1000HAB","A","2017",10.48,
"DEU","NURSE","TOT","1000HAB","A","2008",11.13,
"DEU","NURSE","TOT","1000HAB","A","2009",11.42,
"DEU","NURSE","TOT","1000HAB","A","2010",11.52,
"DEU","NURSE","TOT","1000HAB","A","2011",11.87,
"DEU","NURSE","TOT","1000HAB","A","2012",11.96,
"DEU","NURSE","TOT","1000HAB","A","2013",12.34,
"DEU","NURSE","TOT","1000HAB","A","2014",12.55,
"DEU","NURSE","TOT","1000HAB","A","2015",12.65,
"DEU","NURSE","TOT","1000HAB","A","2016",12.82,
"DEU","NURSE","TOT","1000HAB","A","2017",13.13,
"GRC","NURSE","TOT","1000HAB","A","2008",3.27,"D"
"GRC","NURSE","TOT","1000HAB","A","2009",3.36,"D"
"GRC","NURSE","TOT","1000HAB","A","2010",3.45,"D"
"GRC","NURSE","TOT","1000HAB","A","2011",3.47,"D"
"GRC","NURSE","TOT","1000HAB","A","2012",3.34,"D"
"GRC","NURSE","TOT","1000HAB","A","2013",3.29,"D"
"GRC","NURSE","TOT","1000HAB","A","2014",3.23,"D"
"GRC","NURSE","TOT","1000HAB","A","2015",3.21,"D"
"GRC","NURSE","TOT","1000HAB","A","2016",3.25,"D"
"GRC","NURSE","TOT","1000HAB","A","2017",3.31,"D"
"HUN","NURSE","TOT","1000HAB","A","2008",6.15,
"HUN","NURSE","TOT","1000HAB","A","2009",6.21,
"HUN","NURSE","TOT","1000HAB","A","2010",6.21,
"HUN","NURSE","TOT","1000HAB","A","2011",6.21,
"HUN","NURSE","TOT","1000HAB","A","2012",6.32,
"HUN","NURSE","TOT","1000HAB","A","2013",6.43,
"HUN","NURSE","TOT","1000HAB","A","2014",6.41,
"HUN","NURSE","TOT","1000HAB","A","2015",6.47,
"HUN","NURSE","TOT","1000HAB","A","2016",6.44,
"HUN","NURSE","TOT","1000HAB","A","2017",6.51,"B"
"ISL","NURSE","TOT","1000HAB","A","2008",14.89,
"ISL","NURSE","TOT","1000HAB","A","2009",15.29,
"ISL","NURSE","TOT","1000HAB","A","2010",14.54,
"ISL","NURSE","TOT","1000HAB","A","2011",14.82,"E"
"ISL","NURSE","TOT","1000HAB","A","2012",15.16,
"ISL","NURSE","TOT","1000HAB","A","2013",15.45,
"ISL","NURSE","TOT","1000HAB","A","2014",15.33,
"ISL","NURSE","TOT","1000HAB","A","2015",15.45,
"ISL","NURSE","TOT","1000HAB","A","2016",14.22,
"ISL","NURSE","TOT","1000HAB","A","2017",14.5,
"IRL","NURSE","TOT","1000HAB","A","2008",13.55,
"IRL","NURSE","TOT","1000HAB","A","2009",12.93,
"IRL","NURSE","TOT","1000HAB","A","2010",13.45,
"IRL","NURSE","TOT","1000HAB","A","2011",12.94,
"IRL","NURSE","TOT","1000HAB","A","2012",12.99,
"IRL","NURSE","TOT","1000HAB","A","2013",12.55,
"IRL","NURSE","TOT","1000HAB","A","2014",12.18,
"IRL","NURSE","TOT","1000HAB","A","2015",12.35,
"IRL","NURSE","TOT","1000HAB","A","2016",11.56,
"IRL","NURSE","TOT","1000HAB","A","2017",12.16,
"JPN","NURSE","TOT","1000HAB","A","2008",9.58,
"JPN","NURSE","TOT","1000HAB","A","2010",10.11,
"JPN","NURSE","TOT","1000HAB","A","2012",10.54,
"JPN","NURSE","TOT","1000HAB","A","2014",10.96,
"JPN","NURSE","TOT","1000HAB","A","2016",11.34,
"KOR","NURSE","TOT","1000HAB","A","2008",4.32,
"KOR","NURSE","TOT","1000HAB","A","2009",4.46,
"KOR","NURSE","TOT","1000HAB","A","2010",4.61,
"KOR","NURSE","TOT","1000HAB","A","2011",4.71,
"KOR","NURSE","TOT","1000HAB","A","2012",4.83,
"KOR","NURSE","TOT","1000HAB","A","2013",5.2,
"KOR","NURSE","TOT","1000HAB","A","2014",5.57,
"KOR","NURSE","TOT","1000HAB","A","2015",5.94,
"KOR","NURSE","TOT","1000HAB","A","2016",6.82,"B"
"KOR","NURSE","TOT","1000HAB","A","2017",6.94,
"LUX","NURSE","TOT","1000HAB","A","2009",11.12,
"LUX","NURSE","TOT","1000HAB","A","2010",11.05,"B"
"LUX","NURSE","TOT","1000HAB","A","2011",11.27,
"LUX","NURSE","TOT","1000HAB","A","2012",11.92,
"LUX","NURSE","TOT","1000HAB","A","2013",11.93,
"LUX","NURSE","TOT","1000HAB","A","2014",11.97,
"LUX","NURSE","TOT","1000HAB","A","2015",11.91,
"LUX","NURSE","TOT","1000HAB","A","2016",11.72,
"LUX","NURSE","TOT","1000HAB","A","2017",11.72,
"MEX","NURSE","TOT","1000HAB","A","2008",2.32,
"MEX","NURSE","TOT","1000HAB","A","2009",2.37,
"MEX","NURSE","TOT","1000HAB","A","2010",2.42,
"MEX","NURSE","TOT","1000HAB","A","2011",2.52,
"MEX","NURSE","TOT","1000HAB","A","2012",2.56,
"MEX","NURSE","TOT","1000HAB","A","2013",2.62,
"MEX","NURSE","TOT","1000HAB","A","2014",2.69,
"MEX","NURSE","TOT","1000HAB","A","2015",2.77,
"MEX","NURSE","TOT","1000HAB","A","2016",2.87,
"MEX","NURSE","TOT","1000HAB","A","2017",2.87,
"NLD","NURSE","TOT","1000HAB","A","2008",11.67,
"NLD","NURSE","TOT","1000HAB","A","2009",11.66,
"NLD","NURSE","TOT","1000HAB","A","2010",11.76,
"NLD","NURSE","TOT","1000HAB","A","2011",11.91,
"NLD","NURSE","TOT","1000HAB","A","2012",12.13,
"NLD","NURSE","TOT","1000HAB","A","2013",12.23,
"NZL","NURSE","TOT","1000HAB","A","2008",9.77,
"NZL","NURSE","TOT","1000HAB","A","2009",9.73,
"NZL","NURSE","TOT","1000HAB","A","2010",10.06,
"NZL","NURSE","TOT","1000HAB","A","2011",10.12,"B"
"NZL","NURSE","TOT","1000HAB","A","2012",10.02,
"NZL","NURSE","TOT","1000HAB","A","2013",10.07,
"NZL","NURSE","TOT","1000HAB","A","2014",10.12,
"NZL","NURSE","TOT","1000HAB","A","2015",10.28,
"NZL","NURSE","TOT","1000HAB","A","2016",10.32,
"NZL","NURSE","TOT","1000HAB","A","2017",10.23,
"NOR","NURSE","TOT","1000HAB","A","2008",14,
"NOR","NURSE","TOT","1000HAB","A","2009",15.93,"B"
"NOR","NURSE","TOT","1000HAB","A","2010",16.13,
"NOR","NURSE","TOT","1000HAB","A","2011",16.4,
"NOR","NURSE","TOT","1000HAB","A","2012",16.53,
"NOR","NURSE","TOT","1000HAB","A","2013",16.67,
"NOR","NURSE","TOT","1000HAB","A","2014",16.89,
"NOR","NURSE","TOT","1000HAB","A","2015",17.34,"B"
"NOR","NURSE","TOT","1000HAB","A","2016",17.49,
"NOR","NURSE","TOT","1000HAB","A","2017",17.67,
"POL","NURSE","TOT","1000HAB","A","2008",5.19,
"POL","NURSE","TOT","1000HAB","A","2009",5.25,
"POL","NURSE","TOT","1000HAB","A","2010",5.28,
"POL","NURSE","TOT","1000HAB","A","2011",5.28,
"POL","NURSE","TOT","1000HAB","A","2013",5.27,
"POL","NURSE","TOT","1000HAB","A","2014",5.24,
"POL","NURSE","TOT","1000HAB","A","2015",5.2,
"POL","NURSE","TOT","1000HAB","A","2016",5.16,
"POL","NURSE","TOT","1000HAB","A","2017",5.1,
"PRT","NURSE","TOT","1000HAB","A","2008",5.18,
"PRT","NURSE","TOT","1000HAB","A","2009",5.43,
"PRT","NURSE","TOT","1000HAB","A","2010",5.68,
"PRT","NURSE","TOT","1000HAB","A","2011",5.88,
"PRT","NURSE","TOT","1000HAB","A","2012",5.99,
"PRT","NURSE","TOT","1000HAB","A","2013",6.05,
"PRT","NURSE","TOT","1000HAB","A","2014",6.13,
"PRT","NURSE","TOT","1000HAB","A","2015",6.29,
"PRT","NURSE","TOT","1000HAB","A","2016",6.47,
"PRT","NURSE","TOT","1000HAB","A","2017",6.68,
"SVK","NURSE","TOT","1000HAB","A","2008",6.28,
"SVK","NURSE","TOT","1000HAB","A","2009",6.07,
"SVK","NURSE","TOT","1000HAB","A","2010",6.07,
"SVK","NURSE","TOT","1000HAB","A","2011",5.94,
"SVK","NURSE","TOT","1000HAB","A","2012",5.82,
"SVK","NURSE","TOT","1000HAB","A","2013",5.75,
"SVK","NURSE","TOT","1000HAB","A","2014",5.75,
"SVK","NURSE","TOT","1000HAB","A","2015",5.7,
"SVK","NURSE","TOT","1000HAB","A","2016",5.74,
"SVK","NURSE","TOT","1000HAB","A","2017",5.65,
"ESP","NURSE","TOT","1000HAB","A","2008",4.82,
"ESP","NURSE","TOT","1000HAB","A","2009",4.95,
"ESP","NURSE","TOT","1000HAB","A","2010",5.15,
"ESP","NURSE","TOT","1000HAB","A","2011",5.22,
"ESP","NURSE","TOT","1000HAB","A","2012",5.24,
"ESP","NURSE","TOT","1000HAB","A","2013",5.14,
"ESP","NURSE","TOT","1000HAB","A","2014",5.15,
"ESP","NURSE","TOT","1000HAB","A","2015",5.29,
"ESP","NURSE","TOT","1000HAB","A","2016",5.51,
"ESP","NURSE","TOT","1000HAB","A","2017",5.74,
"CHE","NURSE","TOT","1000HAB","A","2008",13.59,"E"
"CHE","NURSE","TOT","1000HAB","A","2009",13.86,"E"
"CHE","NURSE","TOT","1000HAB","A","2010",14.64,"B"
"CHE","NURSE","TOT","1000HAB","A","2011",15.17,
"CHE","NURSE","TOT","1000HAB","A","2012",15.57,
"CHE","NURSE","TOT","1000HAB","A","2013",15.91,
"CHE","NURSE","TOT","1000HAB","A","2014",16.16,
"CHE","NURSE","TOT","1000HAB","A","2015",16.58,
"CHE","NURSE","TOT","1000HAB","A","2016",17.02,
"CHE","NURSE","TOT","1000HAB","A","2017",17.23,
"TUR","NURSE","TOT","1000HAB","A","2008",1.41,
"TUR","NURSE","TOT","1000HAB","A","2009",1.46,
"TUR","NURSE","TOT","1000HAB","A","2010",1.57,
"TUR","NURSE","TOT","1000HAB","A","2011",1.68,
"TUR","NURSE","TOT","1000HAB","A","2012",1.79,
"TUR","NURSE","TOT","1000HAB","A","2013",1.83,
"TUR","NURSE","TOT","1000HAB","A","2014",1.85,
"TUR","NURSE","TOT","1000HAB","A","2015",1.95,
"TUR","NURSE","TOT","1000HAB","A","2016",1.93,
"TUR","NURSE","TOT","1000HAB","A","2017",2.07,
"GBR","NURSE","TOT","1000HAB","A","2008",8.67,"D"
"GBR","NURSE","TOT","1000HAB","A","2009",8.51,"D"
"GBR","NURSE","TOT","1000HAB","A","2010",8.41,"D"
"GBR","NURSE","TOT","1000HAB","A","2011",8.2,"D"
"GBR","NURSE","TOT","1000HAB","A","2012",7.94,"D"
"GBR","NURSE","TOT","1000HAB","A","2013",7.94,"D"
