Country,Year,Resource,per_1000,pct_GDP,avg_GDP,avg_GDP_rankByincome,pct_Elder,OECD,CountryVsSG_beds,CountryVsSG_drs,CountryVsSG_nurses,Income_group
Australia,2008,Bed,3.82,8.256,8.7994,15,13.201,OECD,less beds,more drs,more nurses,High income
Australia,2008,Dr,3.02,8.256,8.7994,15,13.201,OECD,less beds,more drs,more nurses,High income
Australia,2008,Nurse,10.3,8.256,8.7994,15,13.201,OECD,less beds,more drs,more nurses,High income
Australia,2009,Bed,3.77,8.563,8.7994,15,13.326,OECD,less beds,more drs,more nurses,High income
Australia,2009,Dr,3.12,8.563,8.7994,15,13.326,OECD,less beds,more drs,more nurses,High income
Australia,2009,Nurse,10.18,8.563,8.7994,15,13.326,OECD,less beds,more drs,more nurses,High income
Australia,2010,Bed,3.78,8.431,8.7994,15,13.556,OECD,less beds,NA,NA,High income
Australia,2010,Dr,NA,8.431,8.7994,15,13.556,OECD,less beds,NA,NA,High income
Australia,2010,Nurse,NA,8.431,8.7994,15,13.556,OECD,less beds,NA,NA,High income
Australia,2011,Bed,3.79,8.542,8.7994,15,13.822,OECD,less beds,more drs,more nurses,High income
Australia,2011,Dr,3.32,8.542,8.7994,15,13.822,OECD,less beds,more drs,more nurses,High income
Australia,2011,Nurse,10.19,8.542,8.7994,15,13.822,OECD,less beds,more drs,more nurses,High income
Australia,2012,Bed,3.75,8.676,8.7994,15,14.137,OECD,less beds,more drs,more nurses,High income
Australia,2012,Dr,3.31,8.676,8.7994,15,14.137,OECD,less beds,more drs,more nurses,High income
Australia,2012,Nurse,10.22,8.676,8.7994,15,14.137,OECD,less beds,more drs,more nurses,High income
Australia,2013,Bed,3.74,8.761,8.7994,15,14.4,OECD,less beds,more drs,more nurses,High income
Australia,2013,Dr,3.37,8.761,8.7994,15,14.4,OECD,less beds,more drs,more nurses,High income
Australia,2013,Nurse,11.12,8.761,8.7994,15,14.4,OECD,less beds,more drs,more nurses,High income
Australia,2014,Bed,3.79,9.036,8.7994,15,14.663,OECD,less beds,more drs,more nurses,High income
Australia,2014,Dr,3.45,9.036,8.7994,15,14.663,OECD,less beds,more drs,more nurses,High income
Australia,2014,Nurse,11.28,9.036,8.7994,15,14.663,OECD,less beds,more drs,more nurses,High income
Australia,2015,Bed,3.82,9.323,8.7994,15,14.924,OECD,less beds,more drs,more nurses,High income
Australia,2015,Dr,3.51,9.323,8.7994,15,14.924,OECD,less beds,more drs,more nurses,High income
Australia,2015,Nurse,11.39,9.323,8.7994,15,14.924,OECD,less beds,more drs,more nurses,High income
Australia,2016,Bed,3.84,9.201,8.7994,15,15.18,OECD,less beds,more drs,more nurses,High income
Australia,2016,Dr,3.58,9.201,8.7994,15,15.18,OECD,less beds,more drs,more nurses,High income
Australia,2016,Nurse,11.57,9.201,8.7994,15,15.18,OECD,less beds,more drs,more nurses,High income
Australia,2017,Bed,NA,9.205,8.7994,15,15.409,OECD,NA,more drs,more nurses,High income
Australia,2017,Dr,3.68,9.205,8.7994,15,15.409,OECD,NA,more drs,more nurses,High income
Australia,2017,Nurse,11.68,9.205,8.7994,15,15.409,OECD,NA,more drs,more nurses,High income
Austria,2008,Bed,7.69,9.726,10.2137,26,17.262,OECD,more beds,more drs,more nurses,High income
Austria,2008,Dr,4.6,9.726,10.2137,26,17.262,OECD,more beds,more drs,more nurses,High income
Austria,2008,Nurse,6.36,9.726,10.2137,26,17.262,OECD,more beds,more drs,more nurses,High income
Austria,2009,Bed,7.68,10.226,10.2137,26,17.526,OECD,more beds,more drs,more nurses,High income
Austria,2009,Dr,4.69,10.226,10.2137,26,17.526,OECD,more beds,more drs,more nurses,High income
Austria,2009,Nurse,6.47,10.226,10.2137,26,17.526,OECD,more beds,more drs,more nurses,High income
Austria,2010,Bed,7.65,10.221,10.2137,26,17.672,OECD,more beds,more drs,more nurses,High income
Austria,2010,Dr,4.8,10.221,10.2137,26,17.672,OECD,more beds,more drs,more nurses,High income
Austria,2010,Nurse,6.53,10.221,10.2137,26,17.672,OECD,more beds,more drs,more nurses,High income
Austria,2011,Bed,7.68,10.026,10.2137,26,17.69,OECD,more beds,more drs,more nurses,High income
Austria,2011,Dr,4.84,10.026,10.2137,26,17.69,OECD,more beds,more drs,more nurses,High income
Austria,2011,Nurse,6.62,10.026,10.2137,26,17.69,OECD,more beds,more drs,more nurses,High income
Austria,2012,Bed,7.67,10.199,10.2137,26,17.947,OECD,more beds,more drs,more nurses,High income
Austria,2012,Dr,4.9,10.199,10.2137,26,17.947,OECD,more beds,more drs,more nurses,High income
Austria,2012,Nurse,6.65,10.199,10.2137,26,17.947,OECD,more beds,more drs,more nurses,High income
Austria,2013,Bed,7.64,10.286,10.2137,26,18.19,OECD,more beds,more drs,less nurses,High income
Austria,2013,Dr,4.99,10.286,10.2137,26,18.19,OECD,more beds,more drs,less nurses,High income
Austria,2013,Nurse,6.69,10.286,10.2137,26,18.19,OECD,more beds,more drs,less nurses,High income
Austria,2014,Bed,7.58,10.368,10.2137,26,18.399,OECD,more beds,more drs,less nurses,High income
Austria,2014,Dr,5.05,10.368,10.2137,26,18.399,OECD,more beds,more drs,less nurses,High income
Austria,2014,Nurse,6.79,10.368,10.2137,26,18.399,OECD,more beds,more drs,less nurses,High income
Austria,2015,Bed,7.54,10.368,10.2137,26,18.477,OECD,more beds,more drs,less nurses,High income
Austria,2015,Dr,5.09,10.368,10.2137,26,18.477,OECD,more beds,more drs,less nurses,High income
Austria,2015,Nurse,6.8,10.368,10.2137,26,18.477,OECD,more beds,more drs,less nurses,High income
Austria,2016,Bed,7.42,10.361,10.2137,26,18.495,OECD,more beds,more drs,less nurses,High income
Austria,2016,Dr,5.13,10.361,10.2137,26,18.495,OECD,more beds,more drs,less nurses,High income
Austria,2016,Nurse,6.77,10.361,10.2137,26,18.495,OECD,more beds,more drs,less nurses,High income
Austria,2017,Bed,7.37,10.356,10.2137,26,18.599,OECD,more beds,more drs,less nurses,High income
Austria,2017,Dr,5.18,10.356,10.2137,26,18.599,OECD,more beds,more drs,less nurses,High income
Austria,2017,Nurse,6.85,10.356,10.2137,26,18.599,OECD,more beds,more drs,less nurses,High income
Belgium,2008,Bed,6.25,9.632,10.3238,27,17.071,OECD,more beds,more drs,more nurses,High income
Belgium,2008,Dr,2.92,9.632,10.3238,27,17.071,OECD,more beds,more drs,more nurses,High income
Belgium,2008,Nurse,9.32,9.632,10.3238,27,17.071,OECD,more beds,more drs,more nurses,High income
Belgium,2009,Bed,6.15,10.356,10.3238,27,17.121,OECD,more beds,more drs,more nurses,High income
Belgium,2009,Dr,2.92,10.356,10.3238,27,17.121,OECD,more beds,more drs,more nurses,High income
Belgium,2009,Nurse,9.42,10.356,10.3238,27,17.121,OECD,more beds,more drs,more nurses,High income
Belgium,2010,Bed,6.12,10.234,10.3238,27,17.177,OECD,more beds,more drs,more nurses,High income
Belgium,2010,Dr,2.92,10.234,10.3238,27,17.177,OECD,more beds,more drs,more nurses,High income
Belgium,2010,Nurse,9.59,10.234,10.3238,27,17.177,OECD,more beds,more drs,more nurses,High income
Belgium,2011,Bed,6.05,10.392,10.3238,27,17.316,OECD,more beds,more drs,more nurses,High income
Belgium,2011,Dr,2.92,10.392,10.3238,27,17.316,OECD,more beds,more drs,more nurses,High income
Belgium,2011,Nurse,9.81,10.392,10.3238,27,17.316,OECD,more beds,more drs,more nurses,High income
Belgium,2012,Bed,5.99,10.507,10.3238,27,17.545,OECD,more beds,more drs,more nurses,High income
Belgium,2012,Dr,2.93,10.507,10.3238,27,17.545,OECD,more beds,more drs,more nurses,High income
Belgium,2012,Nurse,10.02,10.507,10.3238,27,17.545,OECD,more beds,more drs,more nurses,High income
Belgium,2013,Bed,5.93,10.562,10.3238,27,17.766,OECD,more beds,more drs,more nurses,High income
Belgium,2013,Dr,2.96,10.562,10.3238,27,17.766,OECD,more beds,more drs,more nurses,High income
Belgium,2013,Nurse,10.3,10.562,10.3238,27,17.766,OECD,more beds,more drs,more nurses,High income
Belgium,2014,Bed,5.85,10.44,10.3238,27,17.999,OECD,more beds,more drs,more nurses,High income
Belgium,2014,Dr,2.98,10.44,10.3238,27,17.999,OECD,more beds,more drs,more nurses,High income
Belgium,2014,Nurse,10.58,10.44,10.3238,27,17.999,OECD,more beds,more drs,more nurses,High income
Belgium,2015,Bed,5.83,10.427,10.3238,27,18.21,OECD,more beds,more drs,more nurses,High income
Belgium,2015,Dr,3.02,10.427,10.3238,27,18.21,OECD,more beds,more drs,more nurses,High income
Belgium,2015,Nurse,10.83,10.427,10.3238,27,18.21,OECD,more beds,more drs,more nurses,High income
Belgium,2016,Bed,5.76,10.282,10.3238,27,18.405,OECD,more beds,more drs,more nurses,High income
Belgium,2016,Dr,3.07,10.282,10.3238,27,18.405,OECD,more beds,more drs,more nurses,High income
Belgium,2016,Nurse,10.96,10.282,10.3238,27,18.405,OECD,more beds,more drs,more nurses,High income
Belgium,2017,Bed,5.66,10.406,10.3238,27,18.617,OECD,more beds,more drs,more nurses,High income
Belgium,2017,Dr,3.08,10.406,10.3238,27,18.617,OECD,more beds,more drs,more nurses,High income
Belgium,2017,Nurse,11.22,10.406,10.3238,27,18.617,OECD,more beds,more drs,more nurses,High income
Canada,2008,Bed,2.85,9.575,10.4702,28,13.659,OECD,less beds,more drs,more nurses,High income
Canada,2008,Dr,2.26,9.575,10.4702,28,13.659,OECD,less beds,more drs,more nurses,High income
Canada,2008,Nurse,9.16,9.575,10.4702,28,13.659,OECD,less beds,more drs,more nurses,High income
Canada,2009,Bed,2.8,10.682,10.4702,28,13.885,OECD,less beds,more drs,more nurses,High income
Canada,2009,Dr,2.34,10.682,10.4702,28,13.885,OECD,less beds,more drs,more nurses,High income
Canada,2009,Nurse,9.32,10.682,10.4702,28,13.885,OECD,less beds,more drs,more nurses,High income
Canada,2010,Bed,2.78,10.659,10.4702,28,14.127,OECD,less beds,more drs,more nurses,High income
Canada,2010,Dr,2.38,10.659,10.4702,28,14.127,OECD,less beds,more drs,more nurses,High income
